label,eta0,fixed_final_test_logloss,adaptive_final_test_logloss,paired_final_test_logloss_delta,fixed_trajectory_mean_test_logloss,adaptive_trajectory_mean_test_logloss,trajectory_mean_test_logloss_delta,adaptive_trees_to_fixed_final_loss,adaptive_seconds_to_fixed_final_loss,fixed_trees_to_adaptive_final_loss,fixed_seconds_to_adaptive_final_loss,fixed_final_training_wall_seconds,adaptive_final_training_wall_seconds,adaptive_to_fixed_wall_ratio
prior_draw_00,0.05932664870288102,0.3034599721431732,0.24005651473999023,-0.06340345740318298,0.40371836175521214,0.350337560971578,-0.053380800783634164,450.0,27.650059916995815,,,20.446165583009133,62.70212724999874,3.0666937032978216
prior_draw_01,0.13549924068595431,0.2142297327518463,0.17694354057312012,-0.037286192178726196,0.3092453643679619,0.2686583643158277,-0.040587000052134226,475.0,30.00347245800367,,,20.92132199999469,62.27040737500647,2.976408822302065
prior_draw_02,0.36697752501596925,0.15522244572639465,0.1528480499982834,-0.002374395728111267,0.22065387616554896,0.19645501350363095,-0.024198862661918008,500.0,33.29148045901093,,,21.21577941700525,63.530962542005,2.9945146625667936
prior_draw_03,0.6166301227584332,0.1631796658039093,0.17060089111328125,0.007421225309371948,0.2048560972015063,0.20087892562150955,-0.003977171579996747,,,450.0,12.752485334000085,20.996366459003184,62.41069920799055,2.9724523683586694
prior_draw_04,0.24082434943414585,0.17313402891159058,0.15447407960891724,-0.01865994930267334,0.25445995330810545,0.22012739777565002,-0.03433255553245543,450.0,28.28816895800992,,,21.58130020799581,64.57693095800641,2.992263224904348
prior_draw_05,0.2126839594718725,0.17959991097450256,0.1548544019460678,-0.024745509028434753,0.2649869238336881,0.22922681545217832,-0.03576010838150978,450.0,28.228315000000293,,,20.73878658299509,64.13047112499771,3.0922962087657497
prior_draw_06,0.2681856460892622,0.1691182404756546,0.15222521126270294,-0.01689302921295166,0.2461462877690792,0.21435430670777958,-0.03179198106129963,475.0,30.53385312500177,,,20.762024083989672,63.24141937500099,3.046014161199662
prior_draw_07,0.08960210240488053,0.25159206986427307,0.20540288090705872,-0.046189188957214355,0.35745926151672996,0.30993962436914446,-0.0475196371475855,475.0,29.946693999998388,,,20.875719707997632,61.363743833993794,2.939479198433811
prior_draw_08,0.06516353689472666,0.2912995219230652,0.2286701500415802,-0.06262937188148499,0.3936020344495773,0.3399331549803416,-0.05366887946923571,450.0,26.220598750005593,,,20.407906541993725,61.64948695899511,3.0208628617608486
prior_draw_09,0.07842685754114745,0.26971662044525146,0.21292267739772797,-0.0567939430475235,0.3716341992219289,0.32166653300325077,-0.04996766621867815,450.0,26.211938624997856,,,20.572421500008204,62.00610837500426,3.0140403440100396
prior_draw_10,0.33666999590715646,0.15785956382751465,0.1528695821762085,-0.004989981651306152,0.22700359771649042,0.2010034258166949,-0.026000171899795532,500.0,33.848945457997615,,,21.536602625012165,63.94690241699573,2.969219590035483
prior_draw_11,0.14399612455465047,0.2107095867395401,0.17463146150112152,-0.03607812523841858,0.30540681903560957,0.2651803188025951,-0.04022650023301444,475.0,30.532204208007897,,,21.32680550000805,62.8128711659956,2.9452545607907332
prior_draw_12,0.7580901256191636,0.1850178837776184,0.18177028000354767,-0.0032476037740707397,0.22596170157194137,0.22491445516546568,-0.0010472464064756881,525.0,34.49703075000434,,,20.673559791990556,60.778463541995734,2.9399128236029677
prior_draw_13,0.28972543141485485,0.16667531430721283,0.15279044210910797,-0.013884872198104858,0.24113091801603634,0.2095478134850661,-0.03158310453097024,450.0,28.039675249994616,,,21.215888250007993,63.21280404200661,2.979503063793843
prior_draw_14,0.25365837782099443,0.17125216126441956,0.15260934829711914,-0.018642812967300415,0.25146041760842003,0.2168369467059771,-0.034623470902442915,450.0,27.26405091700144,,,21.129997750002076,61.699662208004156,2.9200032549931576
prior_draw_15,0.2028722393431973,0.18514198064804077,0.1565571427345276,-0.028584837913513184,0.2705929463108381,0.23332725415627162,-0.03726569215456646,450.0,27.362794458997087,,,21.167941291001625,62.1958683339908,2.9382105457950187
prior_draw_16,0.16507068845153322,0.1971990466117859,0.16487495601177216,-0.03232409060001373,0.28992939641078314,0.24996613239248594,-0.039963264018297195,450.0,27.37366816699796,,,21.06684108299669,62.64438445899577,2.973601225366286
prior_draw_17,0.36176960757866555,0.15870371460914612,0.15176093578338623,-0.006942778825759888,0.2222929964462916,0.19814178148905437,-0.024151214957237238,475.0,31.160383499998716,,,21.239410499998485,63.531388082992635,2.9912029848002217
prior_draw_18,0.22704964221064544,0.17647723853588104,0.15301692485809326,-0.02346031367778778,0.2599323836465677,0.22462051262458166,-0.03531187102198602,475.0,30.778076832997613,,,21.45038070900773,64.39123900000413,3.001869284910365
prior_draw_19,0.17479494764372833,0.19326697289943695,0.16242220997810364,-0.030844762921333313,0.2843837487200896,0.24545198877652485,-0.03893175994356474,450.0,27.948795666001388,,,21.5467175419908,64.02231895799923,2.9713258566290146
prior_median,0.15491933384829668,0.203525111079216,0.1701028198003769,-0.03342229127883911,0.29735888317227366,0.25690001919865607,-0.04045886397361759,475.0,30.88738299999386,,,21.36923804099206,64.20709616699605,3.0046507060209278
