label,eta0,fixed_final_test_logloss,adaptive_final_test_logloss,paired_final_test_logloss_delta,fixed_trajectory_mean_test_logloss,adaptive_trajectory_mean_test_logloss,trajectory_mean_test_logloss_delta,adaptive_trees_to_fixed_final_loss,adaptive_seconds_to_fixed_final_loss,fixed_trees_to_adaptive_final_loss,fixed_seconds_to_adaptive_final_loss,fixed_final_training_wall_seconds,adaptive_final_training_wall_seconds
prior_draw_00,0.05932664870288102,0.3034599721431732,0.22913821041584015,-0.07432176172733307,0.40371836175521214,0.343657457580169,-0.06006090417504312,400.0,126.03769324999303,,,20.6367706250021,432.9690785409912
prior_draw_01,0.13549924068595431,0.2142297327518463,0.17009341716766357,-0.04413631558418274,0.3092453643679619,0.2609060317277908,-0.048339332640171095,425.0,148.86552866600687,,,21.587551374992472,444.6965375409927
prior_draw_02,0.36697752501596925,0.15522244572639465,0.15562419593334198,0.00040175020694732666,0.22065387616554896,0.19351838603615762,-0.027135490129391343,625.0,302.5728114579979,750.0,21.688623333000578,21.688623333000578,429.0009337079973
prior_draw_03,0.6166301227584332,0.1631796658039093,0.17117080092430115,0.007991135120391846,0.2048560972015063,0.20045686066150664,-0.004399236539999657,,,450.0,12.636217332998058,20.794964708009502,419.6681830419984
prior_draw_04,0.24082434943414585,0.17313402891159058,0.15181182324886322,-0.021322205662727356,0.25445995330810545,0.21366177971164385,-0.040798173596461595,400.0,131.8193181670067,,,20.723496666993015,441.8876654170017
prior_draw_05,0.2126839594718725,0.17959991097450256,0.15387482941150665,-0.02572508156299591,0.2649869238336881,0.22450784469644228,-0.04047907913724583,450.0,154.93615729200246,,,20.59999941600836,425.80611933299224
prior_draw_06,0.2681856460892622,0.1691182404756546,0.15244832634925842,-0.01666991412639618,0.2461462877690792,0.2103732724984487,-0.03577301527063051,400.0,128.44325870899775,,,20.99394891700649,445.7271142089885
prior_draw_07,0.08960210240488053,0.25159206986427307,0.19448179006576538,-0.05711027979850769,0.35745926151672996,0.2989970276753108,-0.05846223384141919,425.0,150.2390050420072,,,21.551738042006036,458.4165130420006
prior_draw_08,0.06516353689472666,0.2912995219230652,0.21894624829292297,-0.07235327363014221,0.3936020344495773,0.33105204155047735,-0.06254999289909996,400.0,133.0789558749966,,,21.82621816699975,450.60080770800414
prior_draw_09,0.07842685754114745,0.26971662044525146,0.20648075640201569,-0.06323586404323578,0.3716341992219289,0.3128935548166434,-0.058740644405285536,425.0,148.51517774999957,,,21.76385908399243,454.0656639999943
prior_draw_10,0.33666999590715646,0.15785956382751465,0.15500414371490479,-0.0028554201126098633,0.22700359771649042,0.19461632470289866,-0.03238727301359176,450.0,161.25905129199964,,,20.52513395799906,448.19996441699914
prior_draw_11,0.14399612455465047,0.2107095867395401,0.16805453598499298,-0.04265505075454712,0.30540681903560957,0.25734862859050434,-0.04805819044510523,400.0,138.16209837500355,,,20.95832958399842,453.47632008399523
prior_draw_12,0.7580901256191636,0.1850178837776184,0.18223650753498077,-0.0027813762426376343,0.22596170157194137,0.21836456631620724,-0.007597135255734133,475.0,190.5501857079944,,,21.39686525000434,442.06746324998676
prior_draw_13,0.28972543141485485,0.16667531430721283,0.15201963484287262,-0.01465567946434021,0.24113091801603634,0.20291545713941256,-0.03821546087662378,375.0,129.23917625000468,,,21.117554333002772,494.0093187500024
prior_draw_14,0.25365837782099443,0.17125216126441956,0.15177039802074432,-0.019481763243675232,0.25146041760842003,0.21150156433383624,-0.03995885327458379,425.0,150.86860941600753,,,22.827088500009268,458.16918720801186
prior_draw_15,0.2028722393431973,0.18514198064804077,0.15008315443992615,-0.035058826208114624,0.2705929463108381,0.2234498788913091,-0.04714306741952898,375.0,117.50359837499855,,,22.650031957993633,463.46676212499733
prior_draw_16,0.16507068845153322,0.1971990466117859,0.1580171138048172,-0.03918193280696869,0.28992939641078314,0.2386322649816672,-0.05129713142911593,400.0,127.4675179580081,,,20.4168252919917,432.4366079169995
prior_draw_17,0.36176960757866555,0.15870371460914612,0.15568438172340393,-0.0030193328857421875,0.2222929964462916,0.1949111357331276,-0.027381860713164008,450.0,162.28035825000552,,,20.596970040991437,428.78309062500193
prior_draw_18,0.22704964221064544,0.17647723853588104,0.15122902393341064,-0.025248214602470398,0.2599323836465677,0.21774263332287472,-0.04218975032369296,400.0,133.19120166701032,,,21.12036862500827,443.6070964170067
prior_draw_19,0.17479494764372833,0.19326697289943695,0.15505972504615784,-0.038207247853279114,0.2843837487200896,0.2346734071771304,-0.0497103415429592,400.0,129.40640924999025,,,21.755370582992327,443.2875931669987
prior_median,0.15491933384829668,0.203525111079216,0.16100169718265533,-0.04252341389656067,0.29735888317227366,0.24485958442091943,-0.05249929875135423,400.0,127.91464712499874,,,21.077198166996823,449.52383383399865
