seed,method,test_logloss,test_auc
0,fixed_tuned,0.126522,0.981812
0,q_K10,0.125285,0.985780
0,q_K20,0.142092,0.983466
0,q_K5,0.142144,0.982804
1,fixed_tuned,0.059967,0.999339
1,q_K10,0.046235,0.999339
1,q_K20,0.047795,0.999339
1,q_K5,0.044546,0.999669
2,fixed_tuned,0.097327,0.988426
2,q_K10,0.104994,0.987434
2,q_K20,0.102283,0.986772
2,q_K5,0.107434,0.986442
3,fixed_tuned,0.107101,0.994048
3,q_K10,0.124568,0.992725
3,q_K20,0.115419,0.993717
3,q_K5,0.107732,0.993717
4,fixed_tuned,0.129663,0.990829
4,q_K10,0.148678,0.985260
4,q_K20,0.147020,0.986898
4,q_K5,0.147930,0.987881
5,fixed_tuned,0.069857,0.997354
5,q_K10,0.064087,0.997354
5,q_K20,0.072430,0.997354
5,q_K5,0.071274,0.997354
6,fixed_tuned,0.182842,0.986571
6,q_K10,0.189241,0.981657
6,q_K20,0.182773,0.982640
6,q_K5,0.178743,0.986898
